iter,train_mae,train_rmse,valid_mae,valid_rmse,eta,max_depth,min_child_weight,gamma,subsample,colsample_bytree,eval_metric,eval_metric.1,objective,seed,nfold,nthread,silent
69,2.639068,4.160597,2.737991,4.36062,0.3,11,42,2.5,0.6,0.4,mae,rmse,reg:tweedie,123,30,8,1
70,2.582777,4.096102,2.699916,4.304448,0.3,11,42,2.5,0.7,0.4,mae,rmse,reg:tweedie,123,30,8,1
132,2.589707,4.111197,2.681181,4.292925,0.3,11,42,2.5,0.8,0.4,mae,rmse,reg:tweedie,123,30,8,1
69,2.671508,4.166841,2.761796,4.336699,0.3,11,42,2.5,0.6,0.5,mae,rmse,reg:tweedie,123,30,8,1
48,2.675361,4.185773,2.78352,4.393414,0.3,11,42,2.5,0.7,0.5,mae,rmse,reg:tweedie,123,30,8,1
70,2.607381,4.100955,2.707613,4.286062,0.3,11,42,2.5,0.8,0.5,mae,rmse,reg:tweedie,123,30,8,1
69,2.671508,4.166841,2.761796,4.336699,0.3,11,42,2.5,0.6,0.6,mae,rmse,reg:tweedie,123,30,8,1
48,2.675361,4.185773,2.78352,4.393414,0.3,11,42,2.5,0.7,0.6,mae,rmse,reg:tweedie,123,30,8,1
70,2.607381,4.100955,2.707613,4.286062,0.3,11,42,2.5,0.8,0.6,mae,rmse,reg:tweedie,123,30,8,1
